"","clusterNumber","ANS01.PFC.1A","ANS01.PFC.2A","ANS01.PFC.3A","ANS01.PFC.1B","ANS01.PFC.2B","ANS01.PFC.3B","ANS01.PFC.1C","ANS01.PFC.2C","ANS01.PFC.3C"
"CCR2",33,9.892272326,5.030233199,6.129791781,1.317844797,3.149352404,14.58557962,5.426516306,3.29139615,9.431393183
"FAF2",33,781.3407732,698.7848156,752.1629848,674.7259278,690.7248528,795.556045,691.5531998,762.3731368,772.3854547
"F13A1",33,45.63554659,22.07451196,34.38111183,23.09077507,20.69178473,46.61447665,19.00268364,38.25522516,38.93551602
"AGA",33,81.3735898,65.92341539,68.0574573,59.6578775,56.01927829,82.29678212,62.374026,72.92781164,80.54898173
"CCDC121",33,6.62292456,4.190719121,4.175641522,2.297997553,0.967001502,8.295773769,0.949609794,5.235049728,6.200606513
"MED13L",33,2044.260875,1909.242342,1936.848822,1832.019069,1888.795748,2101.113636,1774.900911,1942.663272,2014.184413
"CAVIN2",33,194.9297721,163.1835255,170.0039568,169.3575348,173.1143262,209.9429988,147.5249909,176.7004638,189.2618783
"ECRG4",33,28.58149348,12.71991872,11.47250084,8.0179356,13.5584341,32.99943273,7.639122037,14.86846395,23.05203337
"MGP",33,236.6439133,162.6738911,174.209764,128.9359378,180.5299905,234.4711505,142.6910946,190.9277536,225.3812974
"CYP2J9",33,300.2751576,340.9165388,301.1975185,284.1814253,254.0010199,356.4673396,269.2287483,295.8206778,327.8430699
"PCDHGA1",33,15.52714097,8.384107615,10.39714069,6.923697593,8.684420943,4.783616943,6.580819904,7.460229037,20.37829618
"PRRC2C",33,3489.979125,3582.1799,3406.645745,3175.251141,2975.623477,3837.078973,3165.837852,3341.72592,3527.686508
"UNC5C",33,653.8265094,703.0996451,677.1642796,586.455082,549.0714464,793.4116388,619.8088649,662.5180405,693.7249311
"PMS1",33,54.12518767,70.25525267,57.67914955,61.78592152,55.07132682,94.32802303,52.11323365,63.27079666,82.50485974
"SH3GLB1",33,1534.744662,1584.693831,1547.012913,1575.536883,1410.672669,2016.883692,1416.484633,1511.673792,1849.844435
"CDC37L1",33,2569.480829,2614.504145,2433.069284,2489.744094,2307.768953,2843.591728,2305.965486,2593.813125,2754.439037
"TMEM123",33,214.29402,237.0062634,193.1388569,229.4444787,177.9367043,273.619195,177.6650722,209.6465273,250.9293737
"ZFP869",33,603.8678816,627.1144775,596.4927462,523.6548424,492.7358262,705.3309182,489.9357205,542.7786346,593.6894836
"LATS1",33,741.7243966,708.6592105,717.7747284,653.8124662,570.518083,823.1210953,596.517022,651.9276265,700.1865159
"PWWP3B",33,75.92531105,68.34269347,66.09721762,56.19951346,38.87035087,88.86773912,36.01870651,58.98801189,64.1808561
"SBF2",33,1029.068087,961.2315671,987.9642218,981.6833693,939.4894351,1153.385001,865.5209074,901.5294961,1013.027946
"LCOR",33,246.6101054,208.315098,196.7642909,196.2245005,180.5579074,266.4338223,165.9446161,182.7934438,222.4567518
"UTY",33,383.8204981,331.8889244,304.2418887,304.8963294,278.4881682,429.897475,252.6058726,293.365093,331.7784646
"RAB30",33,955.4784256,849.5643546,784.3813774,662.1921355,741.7928247,1115.091324,562.4864439,689.490906,865.4336236
"UNC80",33,7470.443498,7321.520291,7177.012261,6794.341802,6877.202616,7861.863914,6554.162036,6775.407248,7171.435586
"PKN2",33,688.9851745,632.5908936,580.3757274,606.3613314,496.1046302,777.2326045,573.0519295,579.4946855,630.8650422
"TMEM47",33,2211.948235,2008.609277,1969.652127,2033.388003,1725.827824,2513.656228,1997.949911,1960.791414,1978.66385
"TRPS1",33,462.2676583,454.9930248,380.8886472,361.8854896,278.9557919,551.641266,372.5045796,370.2744159,396.3446525
"NBEAL1",33,729.5741871,730.3558698,670.4275181,633.5567816,543.8462966,869.9858345,627.946159,623.0861365,672.5221098
"NFE2L2",33,244.7905148,238.5371654,240.1505404,212.3995518,181.1246822,310.5571273,204.2437598,226.3154469,232.0114562
"ZFP189",33,170.4863417,160.7987749,159.3151169,143.8196283,111.4586107,231.1584014,155.7724615,147.1318757,147.564113
"PTPRC",33,68.79528176,76.06619171,61.14703938,63.22865519,58.04811239,95.33830391,64.15204012,61.91975567,79.12402646
"FGF1",33,824.699971,833.1569828,775.4781529,766.4470024,737.6047923,972.4610456,788.3296245,799.8067432,848.1973701
"CELF2",33,8318.85167,8241.325697,7503.358786,7624.470919,7057.60461,9639.773234,7424.244314,7893.691564,8212.97699
"RPF1",33,155.7784433,155.1024345,145.3437786,145.8232283,140.8582154,172.0476062,141.1418583,150.8916996,153.1883644
"NSD1",33,2788.143921,2711.263391,2452.508377,2535.883089,2383.753324,3300.829477,2274.111782,2547.258441,2731.966355
